gene,sig_population,Early_G1,Late_G1,S,G2_M,state
Adk,5,2.2882934,2.980678853,4.092970017,2.420466614,up
Rpl36al,3,2.017429977,2.293764719,2.566305447,1.831559411,up
Ndufb10,3,2.311254376,1.868733198,2.933551478,1.737162498,up
Atxn10,5,1.176159343,2.482556571,3.268114354,2.679017733,up
Ahcy,5,2.137229776,3.150944846,4.168350392,3.271176672,up
Timeless,6,4.038041579,4.628154555,5.068600785,2.364272101,up
Lta4h,2,2.191350644,2.564492486,3.172832018,2.803111407,up
Erh,4,1.937052037,2.432904589,2.772202816,1.899818725,up
Lig1,6,4.836705664,7.029864528,7.763533939,4.168050854,up
Golt1b,6,2.343663805,3.361898521,4.172793015,2.267556549,up
Nup85,6,3.052739961,4.749073594,5.626895868,4.015985042,up
Rpn2,3,1.579523835,1.533449636,2.277410442,2.108108058,up
Atox1,3,0.994303342,1.379133837,2.542966244,2.077872446,up
Tra2b,6,1.799042613,2.119761066,2.658851932,2.36105664,up
Gins2,6,3.777811305,6.014911703,6.547940637,3.910177698,up
Etfa,5,2.492705107,2.889067388,3.17920318,2.682993182,up
Mif,4,2.137026133,2.63281577,2.951571229,1.410223078,up
Fam60a,3,1.588683081,1.946439619,2.595418389,1.936490803,up
Map4k1,3,1.140531535,2.263160664,2.280537549,2.101257713,up
Rps27l,4,2.074138027,3.075407972,3.60381382,2.738051033,up
Dynll1,6,2.303638949,2.508630095,3.666846835,3.112413871,up
Pole3,6,2.237814179,3.210913272,4.043764373,3.046449889,up
Cct2,5,1.825374236,2.61100033,2.896818787,2.407200316,up
Idh3a,5,2.042844696,3.494230072,3.881141881,2.198047229,up
Hspa9,3,1.943849344,2.224513649,2.723406255,2.089550085,up
Alg3,4,1.156168867,2.04632122,2.431200605,1.767713028,up
Snrpb,4,1.900322589,2.391366119,3.175249115,2.73516392,up
Atp6ap1,2,1.368624873,0.4650255,2.082445238,0.999509583,up
Ppa1,5,1.441423989,3.013954711,3.631757875,1.772468439,up
G3bp1,3,1.355718035,1.921892383,2.456642403,1.39180641,up
Set,5,2.139246013,2.690384345,3.236776169,1.137814013,up
Atp5o,5,2.457195598,2.56193225,3.069924666,2.560134597,up
Ostc,4,1.700275702,1.715244401,3.38874952,2.846119977,up
Impdh2,4,2.10227397,2.017723183,2.570201983,2.33609026,up
Bcap29,4,1.540730948,2.461690366,2.759164703,1.367445071,up
Itpa,4,2.482732329,2.252070567,2.69310024,2.561680084,up
Slc19a1,2,1.591164993,1.788360985,2.385303122,0.694365689,up
Timm23,4,2.223258736,3.186520557,3.468463627,1.81229568,up
Sucla2,4,1.144879635,1.732706608,2.398479809,2.365223906,up
Pola1,6,2.008422508,3.668211316,5.193852879,2.830080775,up
H2afz,6,1.744806894,2.414149399,3.279852812,3.235711207,up
Timm13,4,1.980313235,2.962858273,3.223178688,2.101591758,up
Sdhb,4,2.215853759,2.176954734,2.807348669,2.664269423,up
Anapc13,4,1.737965586,2.134958463,2.267059893,1.813934359,up
Denr,3,1.737348404,1.15052516,2.115992051,1.648464661,up
Pomp,2,1.594118746,1.472414636,1.661356557,1.639126607,up
Wdr43,2,0.883910892,1.653327191,1.716064549,0.894677457,up
Hspe1,5,2.0145337,2.742068537,3.885898469,1.225463647,up
Pold1,6,2.68541743,3.773193399,4.968072344,2.811824273,up
Eif4e,3,1.457316403,2.072531401,2.41278582,2.390832056,up
Bid,2,2.079668483,2.233764225,2.88271672,1.750798957,up
Nolc1,5,2.272891722,3.067900844,3.166017653,1.728595717,up
Apitd1,6,3.152062456,4.134038984,5.421530447,3.424489037,up
Eif6,3,1.168827614,2.694601396,2.724359939,1.74948901,up
Pgk1,4,2.448041546,2.550654427,2.875461013,2.1549236,up
Snrpg,3,1.917346608,2.137266653,3.039415554,2.568889107,up
Psmd13,5,2.275046046,2.609410146,2.979394703,2.765147933,up
Gng5,2,1.22818885,1.152062574,1.931633742,1.527566958,up
Lgals9,4,1.953813468,2.327880834,3.054109131,2.876882695,up
Me2,6,1.814119847,2.9718486,4.184330114,2.003595027,up
Nmral1,6,2.324807322,4.546628763,4.714325914,2.944507419,up
Nop2,4,1.726748891,2.541355974,2.54680152,0.385881878,up
Hprt,4,1.947380259,2.571098232,3.310067228,2.436220012,up
Psat1,6,2.074487169,3.07924981,4.959543241,3.332940446,up
Cycs,5,2.028537945,2.921371726,3.436290132,1.917725707,up
Ndufa4,2,1.980821188,2.359206529,3.224358418,2.210684886,up
Psmd10,2,1.392348355,1.036071856,1.974280559,1.862113799,up
Nme2,3,2.51484,2.343239839,3.042502197,2.092528086,up
Exosc5,3,2.091101316,2.932164492,3.72027943,2.34386282,up
Psma4,3,1.743255379,1.761498218,2.089303357,1.793066732,up
Bop1,4,1.321741731,1.350864553,1.841152652,1.756716694,up
Mlec,2,0.90532024,1.038372583,1.457437141,1.404585834,up
Srrt,5,1.555688993,1.493720794,1.700476666,1.320632672,up
Arpc5l,3,1.67906938,2.009405702,2.706591974,1.909861479,up
Polr2j,6,2.556208004,2.220992472,3.453801525,3.366755477,up
Rbm3,2,1.680533498,1.928290495,2.044722854,1.767719075,up
Ndufs7,4,1.237402866,2.409239615,2.573569746,2.342907281,up
Uqcr10,6,2.147263994,2.730605984,3.713238814,3.119932716,up
Usp14,4,1.558303369,2.007109167,2.627518458,1.456534602,up
Rad54l,6,2.514920259,3.883883864,5.923489065,3.410754014,up
Rpn1,5,1.992162803,3.100387319,3.568325334,2.456191138,up
Mrpl28,4,1.822189425,2.648894668,4.390722996,3.297870417,up
Cox5b,4,1.304673666,2.38989892,3.481800362,3.108638206,up
Pola2,6,1.613555628,3.073524097,4.347623571,2.364621076,up
Nop10,4,1.980514947,2.39431051,2.563867364,1.509018902,up
Psma6,4,1.557387254,2.351112688,2.851021834,2.739264354,up
Hint1,4,2.023471773,2.447843753,2.987174881,2.269275464,up
Ppil1,6,2.530013642,4.680185297,5.228761947,3.200561597,up
Nudc,5,2.101922859,3.0250483,4.377648364,2.523800647,up
Srsf10,3,2.094885759,2.626237085,3.068471401,2.159332583,up
Ywhah,6,2.759708515,3.385496947,3.731409965,2.776669104,up
Snrpd2,3,2.280703547,2.895162449,3.513794295,2.898348555,up
Dek,5,1.773942404,3.009543736,3.577024667,3.222524748,up
Cdc7,6,2.996733837,3.96791699,5.063680939,3.544670292,up
Nudt21,4,1.607224612,2.908682665,3.255593522,3.238040642,up
Naa10,5,1.959403054,2.22488826,3.37301302,1.800349324,up
Tcp1,4,1.561508408,2.928355088,3.341068752,2.744985426,up
Rnaseh2b,5,3.234373202,3.18379513,3.460501447,2.02510346,up
Rfc4,6,3.011033012,5.997892719,7.142766005,5.105860241,up
Shmt2,4,2.468661714,3.194155549,4.000586248,2.21472067,up
Nipsnap3b,5,1.559858702,1.968474859,2.31175513,1.547979647,up
Mir686,3,1.546135345,2.435103317,2.708259986,2.444660644,up
Rpl39,2,1.117839528,1.23448478,1.699373289,1.402173852,up
Hnrnpf,3,1.378536202,1.571349049,1.666031967,1.276964278,up
Slc29a1,4,2.675530887,3.587673087,4.471121123,2.368714796,up
Fam162a,5,1.768110191,2.53153691,3.04436904,1.220115269,up
Ap1s1,4,2.010440606,2.010242916,3.579606066,2.128707211,up
Snora74a,3,1.291074729,1.985740948,2.605420314,0.571372102,up
Stra13,6,1.558378748,2.847481921,4.421502555,3.567055595,up
Uqcrq,4,1.854025479,2.963279483,4.629694046,3.195887623,up
Cuta,6,2.150013323,3.071934546,3.148656811,2.202076329,up
Romo1,5,1.103806008,2.728070137,2.728545837,1.431430787,up
Ctps,6,1.528038473,3.016895122,3.204297014,1.316420028,up
Rnaseh2a,6,1.839451364,2.817218952,3.391079614,1.908257217,up
Sdf2l1,6,2.148910226,3.066957997,4.646193035,1.784604435,up
Eif1ax,3,2.454369187,2.691310918,3.06442001,2.191799465,up
Gtf2f2,4,1.244003803,1.444227717,2.404086013,1.424843818,up
Gps1,5,1.217598304,2.6658398,3.108897349,1.985354932,up
Uqcr11,3,1.651063973,1.694782334,2.620548711,2.235455316,up
Grpel1,5,1.222226981,1.738455893,3.013270107,2.224535957,up
Pgam1,2,2.009205857,2.593220382,3.040977155,2.463534275,up
Txn1,5,1.98151316,2.774040003,3.572095472,2.786190566,up
Aimp2,3,1.926485832,2.789188028,3.155194519,2.527546481,up
Cox6c,3,1.988394091,2.297328499,2.870001427,2.379184749,up
Mrps28,5,1.903928697,2.392448975,2.723136617,2.45590515,up
Immt,3,1.381731554,1.647629913,1.950398445,1.409568701,up
Stub1,4,1.873998904,2.202960952,3.435613332,2.235832811,up
Atp5e,2,2.06461184,2.101299255,3.112906214,1.950675853,up
Thyn1,4,1.805852982,1.945330118,3.050694874,2.739569174,up
Ahsa1,4,1.710304342,2.714788784,3.308638494,2.364999007,up
Snrpa1,5,1.808126161,3.022706818,3.596404848,3.092387763,up
Nt5c3l,6,2.41488501,3.122606838,3.989250392,1.842570185,up
Cyc1,6,1.899269896,2.561455021,3.682986028,2.443897469,up
Naa20,3,1.481306737,2.365822343,3.226373471,2.216848968,up
S100a10,2,2.121338349,1.753755872,2.891459399,2.268458441,up
U2surp,2,1.549566394,1.20552784,1.581988753,1.046068608,up
Hsp90aa1,4,1.559527565,2.14839864,2.512163384,1.645977522,up
Slc7a6,5,1.703484762,1.864448962,2.432192378,0.592203534,up
Fkbp4,4,2.397725315,2.950758288,3.661489336,1.628023672,up
Eef1d,2,1.633991426,1.821974876,2.425874188,1.426965443,up
Haus5,6,2.374170978,4.176001971,5.928693152,4.2522827,up
Ndufb4,3,1.311199994,2.185417706,2.556359541,1.877092188,up
Wdr74,2,1.82515023,2.144024597,3.164555248,1.950670782,up
Slc25a5,6,1.598010203,2.03946119,2.366684483,1.49491431,up
Rfc5,6,2.759371357,5.097653782,6.066914865,4.675850678,up
Dcakd,5,1.542417455,2.276905149,2.962055391,1.273617385,up
Rnf7,4,1.844913911,1.508071279,3.138484909,2.073529374,up
Cetn2,4,1.206059605,1.452347175,2.122393965,1.952106984,up
Prmt5,3,0.800693092,2.08079101,2.510976894,2.077909271,up
Dbi,5,2.319341131,2.745789458,3.866097064,2.950994392,up
Snrpe,6,1.564901141,2.763907903,3.092388206,2.887548721,up
Prmt7,3,1.597902754,2.513735071,2.626500792,1.964233761,up
Nhp2l1,4,1.619815694,2.797421098,3.099172081,2.415477537,up
7-Sep,2,0.798457114,1.093039599,1.729119773,1.673717183,up
Lyar,5,1.551719371,2.820207106,3.254038771,2.881764744,up
Cpsf3l,5,1.202980819,2.514546156,2.936890703,2.302398497,up
Ndufs8,2,1.740905877,1.502565084,2.261075551,2.241900797,up
Anapc5,4,1.89366357,1.971102504,2.896042975,2.096637152,up
Syncrip,5,1.438301206,1.90396625,2.560036506,2.189551838,up
Exosc1,2,1.704524654,2.064863483,2.497569495,1.589104765,up
Chchd4,3,1.806233978,2.618594701,2.76431784,1.175515442,up
Cdc37,3,1.183226515,2.078574051,3.031644554,1.946733115,up
Pes1,2,1.344401447,0.965247784,2.172926598,1.757364473,up
Hspa14,6,2.209211948,3.742713229,4.539062096,3.764333879,up
Oxct1,6,2.010217906,2.35551525,3.425098659,3.406393623,up
Rfc3,6,2.636169449,4.279772105,5.162639281,2.136487657,up
Cisd1,6,2.283160428,3.098340203,3.329603282,1.106272185,up
Atp5g1,6,1.717620097,2.692277577,3.142758404,1.915959597,up
Myg1,5,1.834221358,2.774867585,3.786448697,1.910037381,up
Ifrd2,2,1.839265177,1.936747036,2.923969105,1.268975746,up
Mrps27,3,1.132362279,1.455297842,3.164169529,1.429517509,up
Uchl3,4,1.595693278,2.36899543,3.538863465,1.551224714,up
Commd4,2,1.384923652,1.440300375,2.222667073,1.90603107,up
Edf1,4,1.264343428,1.983362204,3.081096164,2.468513903,up
Nutf2,5,2.009307828,2.431319241,2.698371205,1.824107054,up
Naa38,5,2.095373849,2.694327854,3.763265518,3.073236823,up
Chek1,6,2.347172956,3.262672041,3.282956614,1.744533481,up
Cdk4,5,2.225770801,2.497255416,2.720379708,1.789087997,up
Snrpd3,4,1.770423764,2.209894789,2.880570566,2.473159476,up
Tmem147,3,2.115267923,2.160329182,3.181311502,1.599364431,up
Grwd1,4,1.911531061,2.406714176,3.576163105,2.126256471,up
Ssb,2,1.452660646,1.68334705,1.735525023,1.294681951,up
D2Wsu81e,4,2.071251045,2.158724767,3.396974827,1.328077145,up
D17Wsu104e,5,2.706311404,2.000758435,3.186542736,2.635271838,up
Aaas,6,2.320250603,3.549483539,4.354689439,4.185806938,up
Snrpf,4,1.451727299,1.636224735,2.284731068,1.646062543,up
Atpif1,6,1.654827558,1.960271458,2.434338465,1.673629131,up
Atp5l,2,1.640343753,1.831504314,2.357351388,2.199153547,up
Rqcd1,6,2.053981441,3.492756527,3.872758925,2.857888739,up
Glrx3,3,2.012402413,1.88075359,2.037504365,1.278031475,up
Ebna1bp2,3,1.02536711,1.811457638,2.274951614,1.277444915,up
Eif1ad,3,1.351645417,2.480840669,3.535055494,1.522763429,up
Magoh,3,2.410742756,2.325890737,4.096517126,2.882286133,up
H2afy,2,1.358929243,2.187691628,2.79226334,1.949729788,up
Ndufs6,5,1.588802435,2.699644375,3.7813913,3.066160728,up
Ndufa2,4,1.867204944,3.030971196,3.490265768,3.086581272,up
Erp29,2,1.753059149,1.743381063,3.059647572,2.300976374,up
Calr,2,1.403821803,1.818523687,2.432565766,1.991745,up
Psmd7,3,1.560631788,2.703438565,2.805050677,2.006752231,up
Gcsh,4,1.237037313,1.809856584,2.215004095,1.302680639,up
Bex6,2,1.512653514,3.044673768,4.175584273,3.370994968,up
Haus4,6,2.145897657,3.016032143,4.622188743,3.211209432,up
Rdbp,4,1.654791286,1.937570788,3.931537675,1.811322548,up
Cyb5b,3,1.185840797,2.580149562,3.641088763,1.771055415,up
Tomm7,6,1.099639437,2.067281189,2.45206046,1.874875401,up
Msh2,6,2.372526787,2.727760632,2.92713112,1.355475887,up
Psmc2,4,2.043143958,1.843190627,3.202052468,2.811682594,up
Lmnb1,6,1.531916071,2.885714631,3.25184213,2.927661476,up
Stmn1,6,1.952982397,2.486197155,3.312742931,2.955852325,up
Rpa3,6,2.260242778,3.941093756,4.754979129,3.609512648,up
Zwint,4,2.203701891,2.318779866,3.811447427,2.665333596,up
Acly,4,1.384048019,2.184325096,2.39935905,1.60466522,up
G6pc3,4,1.574515398,2.058444287,3.139864287,1.704573297,up
Aarsd1,6,1.533134674,3.535469933,5.65006102,3.169218882,up
Ak2,6,2.001877189,2.910139564,2.941342816,2.248609034,up
Taf1d,3,1.457853553,1.116711158,2.185027907,1.720635078,up
Rfc1,6,1.979144452,2.533435297,3.059682777,2.198913159,up
Sumo3,5,1.675863319,2.393599311,2.47231508,1.462310582,up
Ndufb8,2,1.595593164,1.849406338,2.285075939,1.623252882,up
Smu1,3,1.16420475,1.141861468,2.247337615,1.776760602,up
Sh3bgrl3,2,1.295900146,1.562974608,1.59936512,1.379157543,up
Pold2,6,2.120763835,3.912094097,5.975662453,2.531359342,up
Lage3,4,1.47371476,2.096699498,2.455322157,1.909075038,up
Prim2,6,2.396121152,4.697970603,6.602212161,3.929491856,up
Chchd1,4,1.953186372,2.810241662,3.700570304,3.211584803,up
Tmed3,3,1.444135444,2.302871757,3.686285419,2.235511867,up
Ngfrap1,4,1.984248162,2.381961213,2.844335263,1.460384358,up
Hnrpdl,3,1.400437752,1.984028164,3.004255173,2.28091156,up
Tuba4a,6,2.434940806,2.915355593,4.509512555,3.618532175,up
Rpp21,4,1.966705319,1.955328168,2.790546358,2.381117235,up
Psmc3,3,1.614247984,1.5236319,3.471951491,2.440548815,up
Psmd4,2,1.687017823,1.839418928,2.54124707,1.930852175,up
Uba2,6,2.487986096,3.767452361,4.420033317,2.534634824,up
Ddost,3,1.348794827,2.327254024,3.069884088,1.688521295,up
Zc3h15,5,1.081792867,1.486091504,1.697487436,1.216628786,up
Psme2,3,1.384416397,2.150444933,2.229016825,1.493209005,up
Phb2,5,1.411205448,2.336095138,3.55130607,2.694684213,up
Mfsd10,4,1.534703755,2.436493061,3.114352096,1.049031354,up
Exosc7,3,2.260266118,2.956771492,3.317640827,1.949036027,up
Vrk1,4,2.055942145,2.668838013,3.504466096,2.865367537,up
Ezh2,5,1.847673985,2.080164335,3.984557689,2.878721123,up
Dhodh,4,1.250605186,2.233980317,3.44383982,1.214124621,up
Lsm6,6,1.20350684,2.075840673,2.828931375,2.295735416,up
BC048355,4,1.587145435,2.298565883,4.005633505,2.26764644,up
Polr1b,2,0.65378762,1.23614838,1.429156773,0.691997058,up
Ncbp1,5,1.218252214,1.384821976,2.067780869,1.883636759,up
Gm16286,2,1.093226767,1.282885182,1.485162166,0.776696631,up
Cdc123,3,0.984842002,2.615113862,3.053979013,2.029768606,up
Uqcrb,2,1.373110506,1.957345304,2.29587489,1.828811558,up
Sfxn1,3,1.848298009,2.564344406,3.009201266,1.348772898,up
Tmsb10,2,1.288853279,1.656140153,1.957416915,1.479791646,up
Bcap31,2,1.506649265,1.016130361,1.7012805,1.257038074,up
Cbx1,2,1.574582096,1.654404536,2.532533611,2.259821599,up
Mrpl33,5,1.813477337,2.995861163,4.349345775,3.365321965,up
Ivns1abp,2,1.435244136,1.734603748,1.809163348,0.973839163,up
Cox7c,4,1.512889786,1.807711918,2.519252405,1.786638661,up
Atp5g3,6,1.981282479,2.82211859,3.406283112,2.051344344,up
Cbx5,6,1.946568803,2.540143962,3.61312772,2.558585206,up
Idh2,3,2.373003238,2.656370223,3.036798056,1.562027773,up
Ppp1r7,4,1.527272635,1.683248556,2.12390132,1.698124365,up
Srpk1,4,2.122151594,2.419708547,2.622336702,1.795816797,up
Aprt,3,1.060165529,1.609275062,1.969230702,0.787755824,up
Ints7,4,1.462480642,2.702702963,3.066715771,1.992200785,up
Itpripl1,5,1.487995758,2.212087171,2.909557046,1.518268172,up
Lrdd,6,1.516223221,1.777550632,3.421234775,1.07852131,up
Rbbp7,5,2.255966408,3.23967606,3.253801662,2.431211336,up
P4hb,3,1.913567058,2.605075772,2.914071277,1.753523945,up
Tfdp1,6,2.520485377,2.942619096,3.677377583,2.541446074,up
Ipo5,5,1.571492858,2.905537221,5.007932258,2.686855974,up
Usmg5,4,1.660102389,2.25182886,3.269813561,2.54044016,up
Ndufs5,3,1.569487637,1.205961351,2.670935674,2.305783112,up
Sarnp,2,1.374800672,1.395788168,2.390711807,2.11939471,up
Hnrnpm,3,1.116245079,1.872243477,2.517574989,1.914083324,up
SNORD88,2,0.993492561,1.456248236,1.467359952,-0.813383976,up
Nxt1,6,1.790502581,3.121115638,4.251096207,3.436359742,up
Farsb,5,1.164155577,1.950476362,2.896074946,2.7035487,up
Mrpl40,5,0.678945041,1.965085766,3.505992804,2.533043755,up
Brd3,3,1.306288518,1.549251962,1.963600772,1.362495275,up
Ndufv1,4,2.098088406,1.985024372,2.892300311,2.699560331,up
Pprc1,3,1.371790684,1.464773214,1.495826551,0.501535201,up
Rbm43,3,1.520447768,1.161386984,1.845664747,1.440701633,up
Psmb3,2,1.608782784,1.812958809,2.308427289,1.949686954,up
Ndufb7,5,1.922743221,2.442842849,3.371148417,2.657352334,up
Dck,5,1.228387447,2.407627265,4.222405013,2.264661741,up
Cfdp1,4,1.814467284,1.660646979,2.506735711,1.687259714,up
Ndufc1,3,1.996444115,1.975968684,3.689212064,1.840637621,up
Cox7b,2,0.763851392,1.896493574,2.116313939,1.506285654,up
Gatm,5,2.150134316,2.898477736,5.054539553,1.166752518,up
Bckdk,5,2.086971151,2.902471516,3.18060035,2.908856888,up
Ywhaq,3,2.037505968,2.03476342,2.292449495,1.851150757,up
Psma7,3,1.288947992,1.683489993,1.813935298,1.451670501,up
Suv39h1,6,2.250193692,4.278590387,4.373405335,4.226130462,up
Gpaa1,6,1.851630732,2.716158041,4.028529109,1.956041343,up
Stoml2,4,1.56192519,1.752583546,3.484564689,1.901837942,up
Acot7,3,1.018540793,1.977539393,3.456434761,2.460212019,up
Mybbp1a,4,0.620804281,2.031313285,2.299508817,1.405671453,up
Atp5h,3,1.168285489,1.958136816,2.365859045,1.36407759,up
Ppat,6,2.072979522,3.128251445,4.16712948,1.72603403,up
Ada,2,1.439357694,1.855365121,2.118731633,0.697298444,up
Ndufa9,3,1.884554493,1.780407675,3.256424183,2.873335658,up
Acd,2,1.453428884,1.636960882,1.883568642,0.744213048,up
Ndufa12,4,1.703495751,1.975851275,2.344612393,2.075762981,up
Ptrh2,3,1.290679505,1.673093984,2.061002298,1.092264233,up
Vps16,6,1.914231183,1.587130614,3.158032408,2.442416502,up
Psmc3ip,6,1.792649215,3.912795384,5.042273879,1.548157383,up
Nme4,3,1.552846179,2.005285592,3.292439544,1.13710054,up
Ppid,2,1.427498819,2.087914848,2.365016796,1.832876981,up
Ssr4,3,2.067868071,2.491919392,2.554739676,2.004784073,up
Arl2,5,1.585109371,1.802497493,3.240988313,2.307792045,up
Polr2e,2,1.428999219,1.769486112,2.98098547,1.731308995,up
Eif3c,2,1.220102533,1.40239334,1.645086518,1.431244273,up
Supt16h,6,1.377523175,2.693323224,3.116946637,2.800019283,up
Eed,4,1.580193027,2.098715795,3.392602104,2.150949691,up
Abce1,3,1.448077249,2.027393834,2.650864658,1.91093007,up
Gng12,2,1.072768457,1.34871983,2.294546197,1.974516499,up
Mrpl14,6,1.906891564,3.167611069,3.731898552,1.481251092,up
Mrto4,3,1.748841123,2.181106352,3.333866251,1.537071345,up
St13,3,1.553555436,1.012014766,2.181474589,2.06717877,up
Ipo7,5,1.328430018,2.064305534,3.367856309,1.760352984,up
Snhg3,4,1.623038438,1.864123641,2.026281274,1.272760343,up
Ifi27l1,2,1.529334014,1.607758007,2.058107688,1.642113039,up
Bola2,5,1.449235688,2.109818378,3.64065435,1.890448265,up
Psmd1,2,1.323216075,2.070034098,2.444106499,1.696435397,up
Rbx1,3,1.176701575,1.3993931,1.776464557,1.445482507,up
Fabp5,4,1.291332124,2.710187716,3.549876858,1.577282706,up
Phf5a,6,1.524630628,2.760050309,3.450503748,2.214922152,up
Osgep,5,1.868986252,1.879732015,3.283449511,2.544838212,up
Mrpl2,4,1.261898084,1.969729072,3.400408496,2.578022391,up
Pitpnb,2,1.674626896,1.730608868,2.271058685,2.202398443,up
Stk16,2,1.026511893,1.231263836,2.645076931,2.476756941,up
Eif3d,2,1.351407408,1.62409196,2.390618616,1.990569818,up
Hdac3,5,1.045587093,1.930794573,2.625386522,1.476982975,up
Mrps17,3,1.512753147,1.716949534,2.358458733,2.256677068,up
Ost4,2,1.229371898,1.149993248,1.351943702,1.192941122,up
Atp5j,5,1.430668037,1.908819195,2.718654974,2.555198695,up
Timm8b,2,1.303055137,1.429285318,2.667466117,2.33516337,up
Sf3a1,4,1.41457124,1.384548329,2.070533083,1.699643384,up
Cinp,6,1.522421834,2.437691472,3.287008126,2.31838264,up
Ppp2r1b,2,1.565698527,0.876042081,2.567461216,2.103424229,up
Recql,6,1.131648423,2.643921406,2.972562684,2.200822624,up
Cox8a,2,1.568514765,1.421555703,2.274937666,1.528833516,up
Ifit2,2,1.253189211,0.875042507,1.334453807,1.231078565,up
Slc35b2,2,1.273228668,1.559181537,2.243590685,1.060503445,up
Snrpa,4,1.924671784,1.914065893,3.076619065,2.189321775,up
Fam195b,3,1.672048347,2.210245694,2.421213804,2.328036973,up
Slc43a3,5,1.793907494,2.513058323,4.176248868,2.737828037,up
Cetn3,4,1.666385201,2.055549626,2.496018229,1.455315013,up
Polr2l,2,1.248140908,1.43492606,2.240866675,1.751782523,up
Ass1,5,1.98036436,2.694330297,4.170455599,2.377477665,up
Pole2,6,1.438836916,2.666260325,3.07766368,0.885885047,up
Slc25a3,4,1.699672769,1.735103934,2.523451403,2.136994414,up
Tecr,2,1.049704091,1.569959033,1.873048241,1.296923281,up
Ndufb11,2,1.419152732,1.561357074,2.546497323,2.511003158,up
Nup43,5,1.339401394,2.66991425,3.292464308,2.054704783,up
Prdx3,3,1.287644839,1.601719581,2.539078754,2.302703692,up
Arl6ip4,3,2.109209475,2.112017521,2.546883454,1.737093691,up
Vdac2,5,1.665762867,2.334019155,2.704606572,1.983599272,up
Ssr2,2,1.042491817,1.724124981,2.349384805,2.011014878,up
Casp8ap2,6,1.518627224,2.999090659,3.256315705,1.866274153,up
Rfwd3,5,1.454557009,2.575180291,4.157707702,3.294236556,up
Tm6sf1,2,1.206584766,1.365134989,2.163811981,1.492196475,up
Atp5g2,2,1.402287936,1.203949975,1.932362607,1.172397149,up
Trap1,4,1.506642909,2.337307056,2.570068598,1.496188048,up
Stt3a,3,1.297964891,1.815831661,2.093318238,1.909797187,up
Ppan,2,0.773380479,1.900444763,1.907048042,0.736052112,up
Rcc1,5,1.161406186,1.939931267,4.182693461,2.882151265,up
Psmd14,5,1.505525154,2.840337384,4.096794334,3.458628129,up
Slmo2,6,2.075660965,3.188294438,3.380042437,2.892485171,up
Isyna1,4,1.58492384,2.039748567,2.26936136,0.139479024,up
Mrpl34,3,1.587455301,1.291282759,2.478389784,2.312632448,up
Rad50,4,1.642566048,1.958086692,2.566274836,1.722674185,up
Nop16,4,1.126614122,2.169134271,2.308308408,1.08427047,up
Qdpr,5,1.808770469,2.707468468,3.384731714,1.32444144,up
Clpp,3,0.987262513,1.771509505,2.115342787,0.284416247,up
Sf3a3,4,1.959554688,2.279840129,3.559826967,2.550755072,up
Alad,6,1.432625899,2.612661021,3.45584663,1.994522758,up
Taf6,5,1.615050012,1.67896472,2.741728242,2.321618445,up
Mrpl17,5,1.125464544,2.077421717,2.947000824,0.6756612,up
Dhfr,6,1.845178272,2.854593708,3.579577126,1.241094502,up
Rnps1,3,1.197684061,2.72460605,2.771068738,2.09961856,up
Chchd3,4,1.398890296,2.272165614,3.085816703,2.229093034,up
Calu,2,1.268180445,1.109381011,2.514547358,0.877052412,up
Cdkn2aipnl,5,1.40772678,2.479634572,2.987941316,2.585018024,up
Fh1,3,1.597903065,2.35733096,2.578505542,2.217807257,up
Gusb,2,1.288832335,2.170762073,2.540963124,2.091396807,up
Oat,5,1.948496543,1.30564457,3.540333433,2.611204035,up
Haus7,5,1.626136237,2.42883663,3.481417123,2.005948783,up
Cdc6,6,2.11325419,5.621215033,6.321349706,1.783089796,up
Ece2,4,1.438005771,1.862493201,2.382906092,0.667767176,up
Polr1c,3,0.759981048,1.14753424,2.504955355,2.310996234,up
Nup88,3,1.411728165,1.35920347,2.980281273,2.423472454,up
Fkbp3,3,1.381671075,2.012675176,2.087590101,1.450328169,up
Sec61a1,3,1.511491202,1.593233851,2.121375517,1.393976483,up
Aldh9a1,3,1.109226793,1.381397276,3.531593293,1.116515173,up
Pphln1,2,1.197481329,0.936399303,2.016948883,1.317196409,up
Psmd12,3,1.121694438,1.847722695,2.27916488,1.887076568,up
Dpy30,6,1.26218217,3.410734623,4.456224717,2.956114347,up
Rer1,5,1.358948735,1.970012739,3.16613369,1.912200495,up
Tomm6,3,1.14832045,1.516651636,1.775738311,1.520755157,up
Rad23a,4,1.509755169,1.509830731,2.959286475,1.411813977,up
Farsa,3,1.243909537,1.885352401,3.287224229,2.207026228,up
Fastkd3,4,1.115914212,1.795765285,1.964544491,0.978503572,up
Prpf31,4,1.555889245,2.864784745,3.228548188,2.097266863,up
Prpf3,5,1.718996104,1.738974009,2.398414549,1.795889963,up
Ctsg,3,1.161267385,1.533017964,2.479052773,2.207832821,up
Ptcd3,4,0.555084194,1.702222442,2.140414326,1.575997177,up
Nudt2,2,0.796750805,0.79222105,1.021740799,0.713483186,up
Mrpl50,4,1.518007639,1.954761549,2.765109013,1.631449808,up
Trmt2a,4,1.422254734,1.828137146,2.627300584,0.490009945,up
Snord22,4,1.585206524,2.336291598,3.528014548,2.121084935,up
Nap1l1,6,1.449724242,1.593866073,2.680577337,1.276719207,up
